,id,age,bp,sg,al,su,rbc,pc,pcc,ba,bgr,bu,sc,sod,pot,hemo,pcv,wc,rc,htn,dm,cad,appet,pe,ane,classification
bgr,-3004.276787873903,304.1374667419175,137.96984600499871,-0.19454244940740104,47.547367572361516,38.56260582117232,-10.221962428444728,-10.86043699105056,4.772071273079095,5.489800854631939,4217.181810852217,1004.9038135934852,66.21028783358871,-138.5974361041684,23.07781988228654,-81.26125131016694,-262.4239296944287,43067.50786100136,-27.67615093122634,15.511972909779889,16.493187132145444,7.612996855599451,-7.181568975247927,7.281302910586145,2.748609207449812,17.14206240425704
bu,-2547.6025558332676,140.15758284286053,167.5247923889381,-0.1421240828831733,44.33395146335566,12.037974683544302,-5.71740707893252,-11.2885189067161,4.955010884463432,2.586551640732084,1004.9038135934852,2246.322220430541,130.70851406917686,-174.9183262114005,40.43732161573809,-97.28820446666131,-304.9204627912604,19112.02934773845,-30.02453035555913,12.187374022413927,10.260340240264451,3.7813029105861484,-7.764694025638956,9.194146577440941,9.387164395710725,14.33907119245344
sc,-165.95213254857694,9.05741352898492,13.294848020640176,-0.009530113682173665,3.0569136499234055,0.8691445617995642,-0.4025800209626704,-0.703378214947998,0.317576392808191,0.18749496089655737,66.21028783358871,130.70851406917686,9.471716520196713,-12.275626864468276,1.5181278722889635,-6.4215464000645035,-20.34935096347657,1192.8452793678944,-2.0047440135451096,0.8362251068289926,0.6689107473998215,0.2523905506732244,-0.5128436668547923,0.6396678223010553,0.6177215189873436,0.9649036523421736
sod,427.0267677174877,-11.958477787632013,-18.807546561315814,0.022209949205837225,-6.34306216238008,-1.4772232524389268,0.8233491897121654,1.513343545916309,-1.0119325969523514,-0.44061920503104113,-138.5974361041684,-174.9183262114005,-12.275626864468276,56.091429492864684,-1.3287833588647906,12.58468918809965,38.87277271627833,-4127.243408852701,3.550971539143757,-1.6358945416431503,-1.355075384987499,-0.41610900588567273,1.1854390066919296,-1.1653632185761513,-1.2775135047972264,-2.143110537773119
pot,-48.76803999032491,0.3702733209707333,4.965008465693778,-0.001434814157865055,1.0291381117471556,0.7689913730549063,0.021406111424655247,-0.23780536966862867,-0.030024993953075854,-0.00025800209626702,23.07781988228654,40.43732161573809,1.5181278722889635,-1.3287833588647906,12.085013303233099,-1.9247553011368244,-6.757469966943485,-1169.1751995484963,-0.6867024107070874,0.2627509473514471,0.25141498024671466,0.006345239055067324,-1.612513101672133e-05,0.009336450858663187,0.26122712247037044,0.23835362412319583
hemo,205.95403531403693,-10.982633233895033,-9.094896396033214,0.010810489397726334,-3.1962105942110766,-0.9037813432234139,0.41574619043779715,0.8205917923083118,-0.43645085866322664,-0.3143191163428202,-81.26125131016694,-97.28820446666131,-6.4215464000645035,12.58468918809965,-1.9247553011368244,8.307099895186644,22.48430218495526,-3041.0707086995103,2.1858824477948877,-0.8864307022494552,-0.727041844714988,-0.27873095218898647,0.5819076029992746,-0.5735467225671211,-0.5585826009836334,-1.0729662178505204
pcv,668.528299604935,-33.208135128597924,-35.97032975892928,0.03397041038458426,-9.978553575747808,-2.998145609933084,1.2262355881641553,2.538942191405303,-1.3875675239861325,-0.9618640651455284,-262.4239296944287,-304.9204627912604,-20.34935096347657,38.87277271627833,-6.757469966943485,22.48430218495526,82.90401515762323,-9953.583810368455,6.859191324679514,-2.822946061436753,-2.284689188099654,-0.8732161573812786,1.8690236233169388,-1.8430218495525306,-1.8069015560751454,-3.3660001612513115
wc,-98587.90615173757,7427.646537128116,289.1235991292434,-4.968031927759393,1390.0024187696517,511.223091187616,-108.48988148028711,-206.35330162057576,130.80706280738536,141.3287107957752,43067.50786100136,19112.02934773845,1192.8452793678944,-4127.243408852701,-1169.1751995484963,-3041.0707086995103,-9953.583810368455,9777379.66620978,-868.2246230750627,288.6479077642507,343.7797307103122,16.971700395065717,-335.39466258163327,294.783520116101,131.75038297186168,569.0074981859227
rc,65.89040957832779,-3.8303676529871806,-2.6034024026445253,0.003470289446101745,-0.9220591792308314,-0.3131903571716524,0.12326050149157461,0.2640853019430787,-0.14512617915020562,-0.09300169313875652,-27.67615093122634,-30.02453035555913,-2.0047440135451096,3.550971539143757,-0.6867024107070874,2.1858824477948877,6.859191324679514,-868.2246230750627,1.0391038458437483,-0.28229460614367463,-0.2322905748609208,-0.09432798516487943,0.18499153430621632,-0.192582439732323,-0.17941627025719548,-0.32768281867290217
htn,-31.58356849149398,2.381198097234541,1.5431750382971836,-0.0014694025638958355,0.46424252197048865,0.19358219785535874,-0.058131097315165546,-0.10674836733048423,0.05087478835765525,0.034507780375715634,15.511972909779889,12.187374022413927,0.8362251068289926,-1.6358945416431503,0.2627509473514471,-0.8864307022494552,-2.822946061436753,288.6479077642507,-0.28229460614367463,0.1699588809159066,0.1208578569700876,0.05498669676691139,-0.07586874143352348,0.08086753204869847,0.06724179633959493,0.15762315568814075
dm,-24.3029912118036,1.9250181407723952,0.9336450858663218,-0.0013468515681689976,0.36733048456018513,0.184148996210593,-0.062484882689671555,-0.09465451906796796,0.035152785616383166,0.037410303958719686,16.493187132145444,10.260340240264451,0.6689107473998215,-1.355075384987499,0.25141498024671466,-0.727041844714988,-2.284689188099654,343.7797307103122,-0.2322905748609208,0.1208578569700876,0.14673869225187514,0.04490848988148047,-0.06135612351850334,0.08570507135370413,0.03289526727404663,0.12980730468435017
cad,-10.721398048859148,1.0688139966137227,0.7353059743610451,-0.0005325324518261701,0.135209223574941,0.09691203741030349,-0.023865193904700457,-0.03809562202692907,0.025638958316536325,0.020156413770861883,7.612996855599451,3.7813029105861484,0.2523905506732244,-0.41610900588567273,0.006345239055067324,-0.27873095218898647,-0.8732161573812786,16.971700395065717,-0.09432798516487943,0.05498669676691139,0.04490848988148047,0.06518584213496746,-0.010682899298556836,0.016608884947190206,0.01838264935902592,0.05099572684028041
appet,18.261106183987756,-0.8617673143594292,-0.5289042973474154,0.0009400951382730004,-0.2665484157058767,-0.05853422559058299,0.04353785374506176,0.06695960654680316,-0.040232201886640374,-0.01628638232685638,-7.181568975247927,-7.764694025638956,-0.5128436668547923,1.1854390066919296,-1.612513101672133e-05,0.5819076029992746,1.8690236233169388,-335.39466258163327,0.18499153430621632,-0.07586874143352348,-0.06135612351850334,-0.010682899298556836,0.10646617753769233,-0.06748367330484588,-0.05143916794323947,-0.08808352817866688
pe,-18.151818108522132,1.2021285172942031,0.4394098202047884,-0.0011622188180278972,0.2933161331935808,0.10150769975006092,-0.030073369346126,-0.07852938805127796,0.03329839554946386,0.03491090865113266,7.281302910586145,9.194146577440941,0.6396678223010553,-1.1653632185761513,0.009336450858663187,-0.5735467225671211,-1.8430218495525306,294.783520116101,-0.192582439732323,0.08086753204869847,0.08570507135370413,0.016608884947190206,-0.06748367330484588,0.11126340401515718,0.03805530919938755,0.09271950334596442
ane,-14.085785697008786,0.4967346609691204,1.052164798838994,-0.0006877368378618103,0.243570104007094,0.04426348464081266,-0.02023703942594523,-0.06409739579134055,0.04192534064339275,0.011368217366766041,2.748609207449812,9.387164395710725,0.6177215189873436,-1.2775135047972264,0.26122712247037044,-0.5585826009836334,-1.8069015560751454,131.75038297186168,-0.17941627025719548,0.06724179633959493,0.03289526727404663,0.01838264935902592,-0.05143916794323947,0.03805530919938755,0.09159074417479586,0.07417560267677156
classification,-38.574498105297096,2.1132387325647035,1.629444489236474,-0.0019398532613077427,0.5841328710795797,0.18543900669192884,-0.08344755301136798,-0.13444327985164903,0.0649036523421751,0.055631702007578644,17.14206240425704,14.33907119245344,0.9649036523421736,-2.143110537773119,0.23835362412319583,-1.0729662178505204,-3.3660001612513115,569.0074981859227,-0.32768281867290217,0.15762315568814075,0.12980730468435017,0.05099572684028041,-0.08808352817866688,0.09271950334596442,0.07417560267677156,0.19934693219382293
